name,município,data_avist,estado,latitude,longitude,data_revis,status
Ilha dos Poldros,Araioses,2019-09-16,MA,-2.72300277777778,-41.8574666666667,2019-10-30,Oleada - Manchas
Praia Canto do Atins,Barreirinhas,2019-09-20,MA,-2.56776388888889,-42.7466555555556,2019-09-28,Óleo - Não Observado
Praia Canto do Atins,Barreirinhas,2019-09-22,MA,-2.54318055555556,-42.8340444444444,2019-09-28,Óleo - Não Observado
Ilha Caçacueira,Cururupu,2019-10-10,MA,-1.48395555555556,-44.7460527777778,2019-11-02,Óleo - Não Observado
Ilha dos Poldros,Ilha Grande,2019-09-20,MA,-2.74695555555556,-41.8022527777778,2019-09-28,Óleo - Não Observado
Praia do Barro Vermelho,Paulino Neves,2019-09-21,MA,-2.65602777777778,-42.608,2019-09-28,Óleo - Não Observado
Santo Amaro do Maranhão,Santo Amaro do Maranhão,2019-09-25,MA,-2.34571666666667,-43.3483555555556,2019-10-20,Oleada - Vestígios/Esparsos
Travosa,Santo Amaro do Maranhão,2019-09-25,MA,-2.40743888888889,-43.1349194444444,2019-11-01,Óleo - Não Observado
Av. Litorânea,São Luís,2019-09-26,MA,-2.48208333333333,-44.2448055555556,2019-11-03,Óleo - Não Observado
Praia de Camboinha,Cabedelo,2019-09-01,PB,-7.00293611111111,-34.8254527777778,2019-10-01,Óleo - Não Observado
Praia de Intermares,Cabedelo,2019-09-01,PB,-7.04256388888889,-34.8405472222222,2019-11-03,Óleo - Não Observado
Praia do Poço,Cabedelo,2019-09-01,PB,-7.01984166666667,-34.8293861111111,2019-10-03,Óleo - Não Observado
Praia Formosa,Cabedelo,2019-09-01,PB,-6.97252777777778,-34.8289416666667,2019-11-03,Óleo - Não Observado
Praia de Gramame,Conde,2019-08-30,PB,-7.24939166666667,-34.8057361111111,2019-11-03,Óleo - Não Observado
Praia de Jacumã,Conde,2019-08-30,PB,-7.278,-34.7990361111111,2019-11-03,Óleo - Não Observado
Praia de Tabatinga,Conde,2019-10-23,PB,-7.31464722222222,-34.8018638888889,2019-11-03,Oleada - Vestígios/Esparsos
Praia de Tambaba,Conde,2019-08-30,PB,-7.36552777777778,-34.7977333333333,2019-11-03,Óleo - Não Observado
Praia do Amor,Conde,2019-09-30,PB,-7.27421666666667,-34.8013194444444,2019-11-02,Óleo - Não Observado
Praia de Tambaú,João Pessoa,2019-09-01,PB,-7.11256944444444,-34.8213555555556,2019-11-03,Óleo - Não Observado
Praia do Cabo Branco,João Pessoa,2019-09-01,PB,-7.14537222222222,-34.8094,2019-11-01,Óleo - Não Observado
Barra do rio Camaratuba,Mataraca,2019-09-07,PB,-6.59262777777778,-34.9661444444444,2019-10-31,Óleo - Não Observado
Praia Bela,Pitimbu,2019-08-30,PB,-7.39886666666667,-34.80465,2019-10-28,Óleo - Não Observado
Barra do Rio Mamanguape,Rio Tinto,2019-09-07,PB,-6.77765277777778,-34.9229916666667,2019-10-31,Óleo - Não Observado
Lagoa de Praia,Rio Tinto,2019-09-07,PB,-6.80553888888889,-34.9157444444444,2019-10-04,Óleo - Não Observado
Oiteiro,Rio Tinto,2019-09-07,PB,-6.8318,-34.9108666666667,2019-10-04,Óleo - Não Observado
Praia de Campina,Rio Tinto,2019-09-07,PB,-6.81484444444444,-34.914175,2019-10-31,Óleo - Não Observado
Praia do Porto,Barreiros,2019-10-29,PE,-8.80922222222222,-35.1205333333333,2019-11-01,Oleada - Vestígios/Esparsos
Várzea do Una,Barreros,2019-10-28,PE,-8.8438,-35.1398,NA,Oleada - Vestígios/Esparsos
Ilha do Francês/Suape,Cabo de Santo Agostinho,2019-10-31,PE,-8.3743,-34.9586388888889,NA,Oleada - Vestígios/Esparsos
Praia da Enseada dos Corais,Cabo de Santo Agostinho,2019-10-24,PE,-8.31428333333333,-34.94695,2019-11-02,Oleada - Vestígios/Esparsos
Praia de Gaibu,Cabo de Santo Agostinho,2019-10-24,PE,-8.33716111111111,-34.9511,2019-10-29,Oleada - Vestígios/Esparsos
Praia de Itapuama,Cabo de Santo Agostinho,2019-10-24,PE,-8.29661111111111,-34.9523138888889,2019-11-02,Oleada - Vestígios/Esparsos
Praia do Paiva,Cabo de Santo Agostinho,2019-09-04,PE,-8.26004444444444,-34.9447972222222,2019-11-02,Oleada - Vestígios/Esparsos
Suape,Cabo de Santo Agostinho,2019-09-02,PE,-8.35960277777778,-34.9583305555556,2019-11-03,Oleada - Vestígios/Esparsos
Catuama,Goiana,2019-09-07,PE,-7.67988888888889,-34.8321388888889,2019-11-02,Óleo - Não Observado
Praia Ponta de Pedras,Goiana,2019-09-07,PE,-7.63290277777778,-34.8121111111111,2019-11-02,Óleo - Não Observado
Pontal do Jaguaribe,Ilha de Itamaracá,2019-10-25,PE,-7.72555555555556,-34.8263805555556,2019-10-31,Óleo - Não Observado
Praia de Jaguaribe,Ilha de Itamaracá,2019-10-24,PE,-7.73516111111111,-34.8247888888889,2019-11-03,Óleo - Não Observado
Praia de Quatro Cantos,Ilha de Itamaracá,2019-10-25,PE,-7.74055555555556,-34.8230388888889,2019-10-31,Óleo - Não Observado
Praia do Forte Orange,Ilha de Itamaracá,2019-09-02,PE,-7.81034444444444,-34.8382083333333,2019-10-31,Óleo - Não Observado
Praia do Sossego,Ilha de Itamaracá,2019-10-28,PE,-7.7103,-34.8338,2019-10-31,Oleada - Vestígios/Esparsos
Porto de Galinhas,Ipojuca,2019-09-02,PE,-8.50725277777778,-35.0001833333333,2019-10-31,Oleada - Vestígios/Esparsos
Praia de Gamboa,Ipojuca,2019-09-02,PE,-8.47528055555556,-34.9949805555556,NA,Oleada - Vestígios/Esparsos
Praia de Muro Alto,Ipojuca,2019-10-25,PE,-8.4129,-34.9725805555556,2019-11-02,Óleo - Não Observado
Praia de Nossa Senhora do Ó,Ipojuca,2019-09-02,PE,-8.44609166666667,-34.9832138888889,2019-10-28,Oleada - Vestígios/Esparsos
Praia do Cupe,Ipojuca,2019-10-29,PE,-8.4558,-34.9842,2019-11-02,Oleada - Vestígios/Esparsos
Praia do Pontal de Maracaípe,Ipojuca,2019-10-28,PE,-8.52416111111111,-35.0090388888889,2019-10-31,Óleo - Não Observado
Barra da Jangada,Jaboatão dos Guararapes,2019-10-24,PE,-8.21721388888889,-34.9201666666667,2019-10-31,Óleo - Não Observado
Candeias,Jaboatão dos Guararapes,2019-09-03,PE,-8.19621666666667,-34.9186722222222,2019-10-30,Oleada - Vestígios/Esparsos
Piedade,Jaboatão dos Guararapes,2019-09-03,PE,-8.181025,-34.9165555555556,2019-11-02,Óleo - Não Observado
Rio Persinunga,Maragogi,2019-10-29,PE,-8.9134,-35.1537,2019-11-02,Oleada - Vestígios/Esparsos
Praia de Dell Chifre,Olinda,2019-09-02,PE,-8.02687222222222,-34.8586055555556,2019-10-27,Óleo - Não Observado
Conceição,Paulista,2019-09-02,PE,-7.87884444444444,-34.8288166666667,2019-10-30,Oleada - Vestígios/Esparsos
Maria Farinha,Paulista,2019-09-02,PE,-7.85524166666667,-34.8345416666667,2019-10-31,Óleo - Não Observado
Nossa Senhora do Ó,Paulista,2019-10-27,PE,-7.89571944444444,-34.82475,NA,Oleada - Vestígios/Esparsos
Pau Amarelo,Paulista,2019-09-02,PE,-7.93835555555556,-34.8233916666667,2019-10-31,Oleada - Vestígios/Esparsos
Praia do Janga,Paulista,2019-09-02,PE,-7.928175,-34.82075,2019-10-31,Oleada - Vestígios/Esparsos
Boa Viagem,Recife,2019-09-03,PE,-8.14031666666667,-34.9030138888889,2019-11-02,Óleo - Não Observado
São José da Coroa Grande,São José da Coroa Grande,2019-09-25,PE,-8.87085555555556,-35.134052777777796,2019-11-02,Oleada - Vestígios/Esparsos
Ilha de Santo Aleixo,Sirinhaém,2019-10-19,PE,-8.61236111111111,-35.0242611111111,2019-10-30,Oleada - Vestígios/Esparsos
Praia da Barra de Sirinhaém,Sirinhaém,2019-10-25,PE,-8.62271666666667,-35.0570972222222,2019-11-03,Oleada - Vestígios/Esparsos
Carneiros,Tamandaré,2019-09-03,PE,-8.70328888888889,-35.0796916666667,2019-11-02,Oleada - Vestígios/Esparsos
Ponta das Ilhotas,Tamandaré,2019-10-18,PE,-8.78636944444444,-35.103775,2019-10-30,Oleada - Vestígios/Esparsos
Tamandaré,Tamandaré,2019-09-07,PE,-8.76233333333333,-35.1035972222222,2019-10-28,Oleada - Vestígios/Esparsos
