geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2921005,Costa do Sauípe,2921005_17,Mata de São João,Bahia,BA,2019-10-20,2019-11-16,Oleada - Vestigios / Esparsos,-12.4397777777778,-37.9167188888889
2925303,Praia de Mucugê,2925303_46,Porto Seguro,Bahia,BA,2019-10-31,2019-11-19,Oleo Nao Observado,-16.4953916666667,-39.0686630555556
2302057,Praia da Lama,2302057_26,Barroquinha,Ceará,CE,2019-09-28,2019-11-16,Oleo Nao Observado,-2.93810833333333,-41.3210972222222
2607604,Praia de Jaguaribe,2607604_1,Ilha de Itamaracá,Pernambuco,PE,2019-10-24,2019-11-20,Oleo Nao Observado,-7.73273333333333,-34.825175
2925303,Praia de Itaquena,2925303_47,Porto Seguro,Bahia,BA,2019-11-02,2019-11-19,Oleo Nao Observado,-16.6520316666667,-39.0945
2607604,Pontal do Jaguaribe,2607604_2,Ilha de Itamaracá,Pernambuco,PE,2019-10-25,2019-11-16,Oleo Nao Observado,-7.7251,-34.8284416666667
2925303,Praia de Taperapuã,2925303_45,Porto Seguro,Bahia,BA,2019-11-04,2019-11-15,Oleo Nao Observado,-16.4208416666667,-39.0537361111111
2913606,Praia de Ponta da Tulha,2913606_24,Ilhéus,Bahia,BA,2019-10-28,2019-11-19,Oleada - Vestigios / Esparsos,-14.5944833333333,-39.0541944444444
2913606,Praia de Canabrava,2913606_21,Ilhéus,Bahia,BA,2019-11-11,2019-11-13,Oleo Nao Observado,-14.9865805555556,-38.9989
2607604,Praia de Quatro Cantos,2607604_3,Ilha de Itamaracá,Pernambuco,PE,2019-10-25,2019-10-31,Oleo Nao Observado,-7.74159444444444,-34.8238805555556
2607604,Praia do Sossego,2607604_4,Ilha de Itamaracá,Pernambuco,PE,2019-10-28,2019-11-10,Oleo Nao Observado,-7.70905,-34.8334563888889
2306553,Praia de Almofala,2306553_16,Itarema,Ceará,CE,2019-11-05,2019-11-17,Oleo Nao Observado,-2.92842222222222,-39.8263222222222
2913606,Praia de Lençóis,2913606_27,Ilhéus,Bahia,BA,2019-11-03,2019-11-12,Oleada - Vestigios / Esparsos,-15.0687127777778,-38.9970583333333
2310258,Lagoinha,2310258_14,Paraipaba,Ceará,CE,2019-10-01,2019-11-08,Oleada - Vestigios / Esparsos,-3.347475,-39.1152222222222
2607208,Praia de Gamboa,2607208_1,Ipojuca,Pernambuco,PE,2019-09-02,NA,Oleada - Vestigios / Esparsos,-8.47555833333333,-34.9937083333333
2913606,Praia de Cururupe,2913606_28,Ilhéus,Bahia,BA,2019-11-14,2019-11-14,Oleo Nao Observado,-14.8833777777778,-39.0236305555556
2923001,Praia do Pontal da Barra,2923001_1,Nova Viçosa,Bahia,BA,2019-11-03,2019-11-12,Oleo Nao Observado,-17.8992361111111,-39.3587111111111
2313500,Praia de Mundaú,2313500_1,Trairi,Ceará,CE,2019-11-08,2019-11-21,Oleo Nao Observado,-3.178375,-39.3722472222222
2607208,Praia do Pontal de Maracaípe,2607208_2,Ipojuca,Pernambuco,PE,2019-10-28,2019-11-12,Oleo Nao Observado,-8.52774722222222,-35.0066222222222
2913606,Praia de Mamoã,2913606_25,Ilhéus,Bahia,BA,2019-11-04,2019-11-12,Oleada - Vestigios / Esparsos,-14.5682105555556,-39.0482694444444
2913606,São Domingos,2913606_26,Ilhéus,Bahia,BA,2019-11-03,2019-11-04,Oleo Nao Observado,-14.7116527777778,-39.0653444444444
2607208,Porto de Galinhas,2607208_5,Ipojuca,Pernambuco,PE,2019-09-02,2019-10-31,Oleada - Vestigios / Esparsos,-8.51052777777778,-35.0007019444444
2906907,Praia do Grauçá,2906907_5,Caravelas,Bahia,BA,2019-11-03,2019-11-18,Oleada - Vestigios / Esparsos,-17.7345788888889,-39.1858825
2923001,Costa do atlantico,2923001_6,Nova Viçosa,Bahia,BA,2019-11-03,2019-11-08,Oleo Nao Observado,-17.9743472222222,-39.4722777777778
2607208,Praia de Cambôa,2607208_6,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-16,Oleo Nao Observado,-8.48261111111111,-34.9975333333333
2906907,Ilha de Santa Bárbara,2906907_6,Caravelas,Bahia,BA,2019-11-02,2019-11-20,Oleo Nao Observado,-17.9627722222222,-38.694544444444404
2913606,Praia dos Milionários,2913606_29,Ilhéus,Bahia,BA,2019-10-21,2019-11-15,Oleo Nao Observado,-14.8406277777778,-39.0253666666667
2607208,Praia de Muro Alto,2607208_3,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-16,Oleo Nao Observado,-8.43484944444444,-34.9782694444444
2607208,Praia de Porto de Galinhas,2607208_4,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-16,Oleo Nao Observado,-8.50099583333333,-35.0013938888889
