geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,hora,cou,latitude,longitude
2205706,Atalaia,2205706_3,Luís Correia,Piauí,PI,2019-09-30,2019-12-14,Oleo Nao Observado,09:12:21,1,-2.8835391666666665,-41.637594444444446
2205706,Luís Correia,2205706_4,Luís Correia,Piauí,PI,2019-09-30,2019-12-14,Oleo Nao Observado,09:56:18,1,-2.90029,-41.606205555555555
2205706,Praia Peito de Moça,2205706_5,Luís Correia,Piauí,PI,2019-09-30,2019-11-14,Oleada - Vestigios / Esparsos,NA,1,-2.903947222222222,-41.59798888888889
2602902,Praia do Paiva,2602902_9,Cabo de Santo Agostinho,Pernambuco,PE,2019-11-11,2019-11-16,Oleo Nao Observado,NA,1,-8.276808333333333,-34.94785833333333
2205706,Praia de Atalaia,2205706_10,Luís Correia,Piauí,PI,2019-11-15,2019-12-14,Oleo Nao Observado,09:29:02,1,-2.888133333333333,-41.63067222222222
2511905,Praia de Tambaba,2511905_1,Pitimbu,Paraíba,PB,2019-08-30,2019-12-12,Oleo Nao Observado,NA,1,-7.369324722222222,-34.798544444444445
2511905,Praia Bela,2511905_2,Pitimbu,Paraíba,PB,2019-08-30,2019-11-26,Oleo Nao Observado,NA,1,-7.396427777777778,-34.804405555555554
2602902,Praia de Itapuama,2602902_1,Cabo de Santo Agostinho,Pernambuco,PE,2019-10-24,2019-11-28,Oleo Nao Observado,NA,1,-8.292663888888889,-34.95355
2602902,Praia da Enseada dos Corais,2602902_2,Cabo de Santo Agostinho,Pernambuco,PE,2019-10-24,2019-11-28,Oleada - Vestigios / Esparsos,NA,1,-8.316402777777778,-34.94983055555555
2602902,Praia de Gaibu,2602902_3,Cabo de Santo Agostinho,Pernambuco,PE,2019-10-24,2019-11-14,Oleo Nao Observado,NA,1,-8.33503027777778,-34.95083777777778
2602902,Praia do Paiva,2602902_4,Cabo de Santo Agostinho,Pernambuco,PE,2019-09-04,2019-12-08,Oleo Nao Observado,NA,1,-8.257791666666666,-34.94440833333333
2803203,Praia Caueira,2803203_16,Itaporanga D'ajuda,Sergipe,SE,2019-11-28,2019-11-28,Oleada - Vestigios / Esparsos,NA,1,-11.269435277777779,-37.2459
2602902,Praia do Paiva,2602902_17,Cabo de Santo Agostinho,Pernambuco,PE,2019-11-10,2019-12-08,Oleada - Vestigios / Esparsos,NA,1,-8.357566666666667,-34.954661111111115
2403608,Barra do Rio,2403608_11,Extremoz,Rio Grande do Norte,RN,2019-12-13,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-5.668690833333334,-35.218073333333336
2803203,Praia Caueira,2803203_18,Itaporanga D'ajuda,Sergipe,SE,2019-11-07,2019-12-14,Oleada - Vestigios / Esparsos,11:29:41,1,-11.283994722222221,-37.256705555555556
3203205,Praia Cacimbas,3203205_27,Linhares,Espírito Santo,ES,2019-11-18,2019-11-19,Oleada - Vestigios / Esparsos,NA,1,-19.49396666666667,-39.742105555555554
2803203,Praia Caueira,2803203_12,Itaporanga D'ajuda,Sergipe,SE,2019-11-28,2019-12-04,Oleada - Vestigios / Esparsos,NA,1,-11.240897222222221,-37.22273055555556
3203205,Praia de Monsarás,3203205_29,Linhares,Espírito Santo,ES,2019-11-19,2019-11-28,Oleo Nao Observado,NA,1,-19.51018611111111,-39.749700000000004
2905404,Praia do Pontal,2905404_39,Cairu,Bahia,BA,2019-11-10,2019-11-10,Oleada - Vestigios / Esparsos,NA,1,-13.503819444444444,-38.91719222222222
2803203,Praia Caueira,2803203_14,Itaporanga D'ajuda,Sergipe,SE,2019-11-20,2019-11-21,Oleada - Vestigios / Esparsos,NA,1,-11.255122222222223,-37.234369722222226
2602902,Praia de Gaibu,2602902_14,Cabo de Santo Agostinho,Pernambuco,PE,2019-11-11,2019-12-06,Oleada - Vestigios / Esparsos,NA,1,-8.341330555555556,-34.946077777777774
3203205,Praia do Degredo,3203205_23,Linhares,Espírito Santo,ES,2019-11-17,2019-12-05,Oleo Nao Observado,NA,1,-19.372497222222222,-39.69808611111111
3203205,Praia de Cacimbas,3203205_25,Linhares,Espírito Santo,ES,2019-11-23,2019-11-30,Oleada - Vestigios / Esparsos,NA,1,-19.47657222222222,-39.73415444444444
2803203,Praia Caueira,2803203_10,Itaporanga D'ajuda,Sergipe,SE,2019-11-15,2019-12-07,Oleada - Vestigios / Esparsos,NA,1,-11.226830555555555,-37.210486111111116
2614204,Ilha de Santo Aleixo,2614204_13,Sirinhaém,Pernambuco,PE,2019-10-19,2019-10-30,Oleada - Vestigios / Esparsos,NA,1,-8.611358333333333,-35.02319166666667
2804904,Praia da Ponta dos Mangues,2804904_14,Pacatuba,Sergipe,SE,2019-11-18,2019-12-13,Oleada - Vestigios / Esparsos,12:11:15,1,-10.584680555555556,-36.610325
2804904,Praia da Ponta dos Mangues,2804904_15,Pacatuba,Sergipe,SE,2019-12-09,2019-12-09,Oleada - Vestigios / Esparsos,NA,1,-10.589041666666667,-36.61895611111111
2804904,Pontas dos Mangues,2804904_13,Pacatuba,Sergipe,SE,2019-11-07,2019-11-19,Oleo Nao Observado,NA,1,-10.581033333333334,-36.60191777777778
2607208,Suape,2607208_7,Ipojuca,Pernambuco,PE,2019-09-02,2019-11-03,Oleada - Vestigios / Esparsos,NA,1,-8.360194444444444,-34.960350000000005
2607208,Praia de Muro Alto,2607208_8,Ipojuca,Pernambuco,PE,2019-10-25,2019-12-09,Oleo Nao Observado,NA,1,-8.418201388888889,-34.971811111111116
2607208,Praia do Cupe,2607208_9,Ipojuca,Pernambuco,PE,2019-10-29,2019-11-25,Oleada - Vestigios / Esparsos,NA,1,-8.451375277777776,-34.9842225
2906303,Praia da Barra do Albino,2906303_29,Canavieiras,Bahia,BA,2019-11-11,2019-11-27,Oleada - Vestigios / Esparsos,NA,1,-15.590469444444444,-38.942705555555555
2913457,Porto do Campo,2905800_13,Igrapiúna,Bahia,BA,2019-11-13,2019-11-20,Oleada - Vestigios / Esparsos,NA,1,-13.90074,-39.03628055555556
3202207,Praia Grande,3202207_8,Fundão,Espírito Santo,ES,2019-12-11,2019-12-12,Oleo Nao Observado,NA,1,-20.043247222222224,-40.18823333333333
2906303,Praia do Poxim,2906303_20,Canavieiras,Bahia,BA,2019-12-11,2019-12-11,Oleada - Vestigios / Esparsos,NA,1,-15.508611111111112,-38.94443055555555
3202207,praia califa,3202207_3,Fundão,Espírito Santo,ES,2019-11-23,2019-11-24,Oleo Nao Observado,NA,1,-20.015516666666667,-40.15564444444444
2207702,Pedra do Sal,2207702_1,Parnaíba,Piauí,PI,2019-09-30,2019-12-14,Oleada - Vestigios / Esparsos,09:51:24,1,-2.8068305555555555,-41.72658055555556
2207702,Praia do Pontal,2207702_2,Parnaíba,Piauí,PI,2019-10-29,2019-12-13,Oleo Nao Observado,NA,1,-2.7708305555555555,-41.776852777777776
2207702,Praia do Pontal,2207702_3,Parnaíba,Piauí,PI,2019-11-20,2019-11-22,Oleada - Vestigios / Esparsos,NA,1,-2.7549694444444444,-41.78628055555556
3202207,Praia Califa,3202207_1,Fundão,Espírito Santo,ES,2019-11-23,2019-11-23,Oleada - Vestigios / Esparsos,NA,1,-20.02436388888889,-40.15719166666666
