name,município,data_avist,estado,data_revis,status,geocodigo,latitude,longitude
Praia do Forte Orange,Ilha de Itamaracá,2019-09-02,PE,2019-11-05,Óleo - Não Observado,2607604,-7.81103611111111,-34.8386222222222
Praia da Ponta dos Castelhanos,Cairu,2019-10-31,BA,NA,Oleada - Vestígios/Esparsos,2905404,-13.6605972222222,-38.8956833333333
Praia de Campina,Cabedelo,2019-11-06,PB,2019-11-06,Oleada - Vestígios/Esparsos,2503209,-7.03801388888889,-34.8365083333333
Praia de Moreré,Cairu,2019-10-28,BA,2019-11-01,Oleada - Vestígios/Esparsos,2905404,-13.5933611111111,-38.9010888888889
Praia Formosa,Cabedelo,2019-09-01,PB,2019-11-06,Óleo - Não Observado,2503209,-6.96830277777778,-34.8299444444444
Praia Berlinque,Vera Cruz,2019-11-02,BA,2019-11-06,Óleo - Não Observado,2933208,-13.1222055555556,-38.7678416666667
Praia de Barra Grande,Vera Cruz,2019-10-19,BA,2019-11-05,Oleada - Vestígios/Esparsos,2933208,-13.0442083333333,-38.6787194444444
Praia da Ponta da Baleia,Caravelas,2019-11-01,BA,NA,Oleada - Vestígios/Esparsos,2906907,-17.7048805555556,-39.1506944444444
Praia de Guaibim,Valença,2019-11-05,BA,2019-11-05,Oleada - Manchas,2932903,-13.2682444444444,-38.9585972222222
Catuama,Goiana,2019-09-07,PE,2019-11-04,Óleo - Não Observado,2606200,-7.68251111111111,-34.8346027777778
Ilha Redonda (abrolhos),Caravelas,2019-11-04,BA,2019-11-04,Oleada - Vestígios/Esparsos,2906907,-17.9683277777778,-38.7111972222222
Praia do Garcez,Jaguaripe,2019-10-24,BA,2019-10-30,Óleo - Não Observado,2917805,-13.2136472222222,-38.9109388888889
Caixa Prego,Vera Cruz,2019-10-18,BA,2019-11-05,Óleo - Não Observado,2933208,-13.1294416666667,-38.7857194444444
Ilha Caçacueira,Cururupu,2019-10-10,MA,2019-11-02,Óleo - Não Observado,2103703,-1.48120833333333,-44.7459833333333
Praia de Jaburu,Vera Cruz,2019-10-17,BA,2019-11-04,Óleo - Não Observado,2933208,-12.9601833333333,-38.6051694444444
Praia do Grauçá,Caravelas,2019-11-03,BA,2019-11-04,Oleada - Vestígios/Esparsos,2906907,-17.7344166666667,-39.1857472222222
Ilha de Santa Bárbara,Caravelas,2019-11-02,BA,2019-11-05,Oleada - Vestígios/Esparsos,2906907,-17.9627527777778,-38.69455
Praia Vilas do Atlântico,Lauro de Freitas,2019-10-11,BA,2019-10-16,Óleo - Não Observado,2919207,-12.8954944444444,-38.2922861111111
Ondina,Salvador,2019-10-19,BA,2019-11-04,Óleo - Não Observado,2927408,-13.0113861111111,-38.514425
Rio Vermelho,Salvador,2019-10-17,BA,2019-11-06,Oleada - Vestígios/Esparsos,2927408,-13.0135611111111,-38.4920083333333
Praia de Arakakaí,Santa Cruz Cabrália,2019-10-31,BA,2019-11-05,Óleo - Não Observado,2927705,-16.2923666666667,-39.0227416666667
Praia Jardim dos Namorados,Salvador,2019-10-16,BA,2019-11-04,Óleo - Não Observado,2927408,-13.0044805555556,-38.4519888888889
Praia de Arakakaí,Santa Cruz Cabrália,2019-11-04,BA,2019-11-05,Óleo - Não Observado,2927705,-16.1895611111111,-38.9668083333333
Praia de Stella Maris,Salvador,2019-11-01,BA,2019-11-05,Óleo - Não Observado,2927408,-12.9366333333333,-38.326425
Amaralina,Salvador,2019-10-17,BA,2019-11-05,Óleo - Não Observado,2927408,-13.0149333333333,-38.4714916666667
Jardim de Alah,Salvador,2019-10-16,BA,2019-11-06,Óleo - Não Observado,2927408,-12.9995944444444,-38.4465555555556
Foz do Rio Inhampube,Esplanada,2019-10-07,BA,2019-10-30,Oleada - Vestígios/Esparsos,2910602,-12.0999166666667,-37.6869333333333
Pedra do Sal,Salvador,2019-10-16,BA,2019-11-06,Óleo - Não Observado,2927408,-12.9529,-38.3464166666667
Itariri,Conde,2019-10-05,BA,2019-11-05,Oleada - Vestígios/Esparsos,2908606,-11.9686083333333,-37.6192861111111
Praia de Ipitanga,Salvador,2019-10-21,BA,2019-11-05,Óleo - Não Observado,2927408,-12.9169972222222,-38.3092916666667
Ilha dos Poldros,Araioses,2019-09-16,MA,2019-10-30,Oleada - Manchas,2100907,-2.72321111111111,-41.8550805555556
Ilha dos Poldros,Araioses,2019-09-20,MA,2019-09-28,Óleo - Não Observado,2100907,-2.73815277777778,-41.7949333333333
Praia da Paciência,Salvador,2019-10-17,BA,NA,Oleada - Vestígios/Esparsos,2927408,-13.0122472222222,-38.4992555555556
Praia de Poças,Conde,2019-10-20,BA,2019-11-03,Oleada - Vestígios/Esparsos,2908606,-11.8101916666667,-37.5444083333333
Pituba,Salvador,2019-10-16,BA,2019-11-03,Óleo - Não Observado,2927408,-13.0110833333333,-38.4652361111111
Caueira,Itaporanga D'ajuda,2019-10-03,SE,2019-11-02,Oleada - Vestígios/Esparsos,2803203,-11.2201305555556,-37.2045083333333
Praia de Siribinha,Conde,2019-10-29,BA,2019-11-04,Oleada - Vestígios/Esparsos,2908606,-11.7680611111111,-37.5259277777778
Sítio do Conde,Conde,2019-10-04,BA,2019-11-01,Oleada - Manchas,2908606,-11.8520722222222,-37.5635138888889
Praia Caueira,Itaporanga D'ajuda,2019-11-04,SE,2019-11-04,Óleo - Não Observado,2803203,-11.2071416666667,-37.1918583333333
Jandaíra,Jandaíra,2019-10-04,BA,2019-10-05,Oleada - Manchas,2917904,-11.5648555555556,-37.4232666666667
Coqueirinho,Itaporanga D'ajuda,2019-10-30,SE,2019-10-31,Oleada - Vestígios/Esparsos,2803203,-11.1802611111111,-37.1665972222222
Praia do Mar Moreno,Belmonte,2019-11-02,BA,2019-11-02,Óleo - Não Observado,2903409,-15.8556416666667,-38.8579222222222
Barra do Rio Mamanguape,Rio Tinto,2019-09-07,PB,2019-10-31,Óleo - Não Observado,2512903,-6.77118333333333,-34.92375
Conde,Jandaíra,2019-10-05,BA,2019-10-05,Oleada - Vestígios/Esparsos,2917904,-11.7423583333333,-37.5160722222222
Mangue Seco,Jandaíra,2019-10-04,BA,2019-10-28,Oleada - Vestígios/Esparsos,2917904,-11.4619388888889,-37.3513972222222
Praia de Mogiquiçaba,Belmonte,2019-11-04,BA,2019-11-05,Óleo - Não Observado,2903409,-16.0898805555556,-38.9507027777778
Costa do Sauípe,Mata de São João,2019-10-20,BA,2019-11-05,Oleada - Vestígios/Esparsos,2921005,-12.4398361111111,-37.916775
Praia de Barra Velha,Belmonte,2019-10-29,BA,2019-10-30,Óleo - Não Observado,2903409,-15.8160055555556,-38.8701277777778
Santo Antônio,Mata de São João,2019-10-01,BA,2019-10-25,Oleada - Vestígios/Esparsos,2921005,-12.4608972222222,-37.9334277777778
Dunas (sul),Estância,2019-11-04,SE,2019-11-04,Oleada - Vestígios/Esparsos,2802106,-11.3990166666667,-37.3117277777778
Baía Formosa,Baía Formosa,2019-09-07,RN,2019-11-06,Óleo - Não Observado,2401404,-6.36791388888889,-35.0023027777778
Abais,Estância,2019-09-03,SE,2019-11-02,Oleada - Vestígios/Esparsos,2802106,-11.3071972222222,-37.2719305555556
Porto de Sauípe,Entre Rios,2019-10-09,BA,2019-10-30,Oleada - Manchas,2910503,-12.3886722222222,-37.8794
Praia do Saco (1),Estância,2019-09-03,SE,2019-11-04,Óleo - Não Observado,2802106,-11.3905527777778,-37.3095416666667
Praia de Ponta dos Mangues,Pacatuba,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,2804904,-10.5743805555556,-36.5846416666667
Dunas (norte),Estância,2019-11-04,SE,2019-11-04,Oleada - Vestígios/Esparsos,2802106,-11.3316833333333,-37.2841972222222
Praia de Mucugê,Porto Seguro,2019-10-31,BA,2019-11-01,Oleada - Vestígios/Esparsos,2925303,-16.4953694444444,-39.0686444444444
Praia do Saco (2),Estância,2019-11-02,SE,NA,Oleada - Vestígios/Esparsos,2802106,-11.4255305555556,-37.3178055555556
Praia de Taperapuã,Porto Seguro,2019-11-04,BA,2019-11-05,Oleada - Vestígios/Esparsos,2925303,-16.4205111111111,-39.0532666666667
Ilha da Costinha,Brejo Grande,2019-11-05,SE,2019-11-05,Oleada - Vestígios/Esparsos,2800704,-10.5188916666667,-36.4400555555556
Praia de Itaquena,Porto Seguro,2019-11-02,BA,NA,Oleada - Vestígios/Esparsos,2925303,-16.6517527777778,-39.0952333333333
Foz do Rio São Francisco,Piaçabuçu,2019-10-09,AL,2019-11-02,Oleada - Vestígios/Esparsos,2706802,-10.4958555555556,-36.3930833333333
Praia de Busca Vida,Camaçari,2019-10-24,BA,2019-11-03,Oleada - Manchas,2905701,-12.8598888888889,-38.2532361111111
Costa do Atlântico,Nova Viçosa,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2923001,-17.9946277777778,-39.4890527777778
Costa do atlantico,Nova Viçosa,2019-11-03,BA,2019-11-05,Óleo - Não Observado,2923001,-17.9733305555556,-39.4713861111111
Praia do Centro,Prado,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2925501,-17.3168972222222,-39.2200694444444
Pontal do Coruripe,Coruripe,2019-09-27,AL,2019-11-06,Oleada - Vestígios/Esparsos,2702306,-10.1616555555556,-36.1346805555556
Mosqueiro,Aracaju,2019-10-16,SE,2019-11-06,Oleada - Vestígios/Esparsos,2800308,-11.0460694444444,-37.0883972222222
Ponta da Barra,Marechal Deodoro,2019-10-13,AL,2019-10-21,Oleada - Vestígios/Esparsos,2704708,-9.71614166666667,-35.7982027777778
Praia dos Artistas,Aracaju,2019-10-29,SE,2019-11-06,Oleada - Vestígios/Esparsos,2800308,-10.9738916666667,-37.0315305555556
