name,município,data_avist,estado,latitude,longitude,data_revis,status,geocodigo
Falésias do Gunga,Roteiro,2019-09-22,Alagoas,-9.90412222222222,-35.9391277777778,2019-10-22,Oleada - Vestígios/Esparsos,2707800
Mangue da Foz do Rio Coruripe,Coruripe,2019-10-29,Alagoas,-10.1593,-36.1551833333333,2019-11-07,Oleada - Vestígios/Esparsos,2702306
"Miai de cima, miai de baixo - Coruripe e praia do Toco - feliz deserto",Coruripe,2019-11-07,Alagoas,-10.2303444444444,-36.2253527777778,2019-11-07,Oleada - Vestígios/Esparsos,2702306
Lagoa do Pau,Coruripe,2019-09-27,Alagoas,-10.128525,-36.1090722222222,2019-11-07,Oleada - Vestígios/Esparsos,2702306
Coruripe,Coruripe,2019-10-12,Alagoas,-10.1727333333333,-36.1674055555556,2019-10-24,Oleada - Vestígios/Esparsos,2702306
Lagoa Azeda,Jequiá da Praia,2019-10-22,Alagoas,-9.97415,-35.9810305555556,2019-11-07,Oleada - Vestígios/Esparsos,2703759
Lot. Encontro do Mar,Marechal Deodoro,2019-09-21,Alagoas,-9.78774444444444,-35.8546277777778,2019-10-27,Óleo - Não Observado,2704708
Praia do Francês,Marechal Deodoro,2019-09-18,Alagoas,-9.76764166666667,-35.836875,2019-10-27,Óleo - Não Observado,2704708
Praia Angra de Ipioca,Maceió,2019-11-05,Alagoas,-9.49901111111111,-35.5746111111111,2019-11-05,Oleada - Vestígios/Esparsos,2704302
Pajuçara/Ponta Verde,Maceió,2019-09-15,Alagoas,-9.6652,-35.703375,2019-11-01,Óleo - Não Observado,2704302
Ipioca,Maceió,2019-09-17,Alagoas,-9.54801944444444,-35.6177583333333,2019-11-01,Óleo - Não Observado,2704302
Praia de Guaxuma,Maceió,2019-10-25,Alagoas,-9.59347222222222,-35.6688138888889,NA,Oleada - Vestígios/Esparsos,2704302
Ilha da Croa,Barra de Santo Antônio,2019-10-13,Alagoas,-9.38472777777778,-35.4925361111111,2019-10-30,Oleada - Vestígios/Esparsos,2700508
Barra do Santo Antônio,Barra de Santo Antônio,2019-10-13,Alagoas,-9.42860833333333,-35.5068055555556,2019-10-15,Oleada - Manchas,2700508
Barra do Rio Santo Antônio,Barra de Santo Antônio,2019-10-13,Alagoas,-9.41066944444444,-35.4968138888889,2019-10-24,Óleo - Não Observado,2700508
Barra de São Miguel,Barra de São Miguel,2019-09-19,Alagoas,-9.82570277777778,-35.8787333333333,2019-11-07,Oleada - Vestígios/Esparsos,2700607
Praia do Barramar,Barra de São Miguel,2019-11-06,Alagoas,-9.81821111111111,-35.8744944444444,2019-11-06,Oleada - Vestígios/Esparsos,2700607
Praia Bonita,Barra de São Miguel,2019-10-21,Alagoas,-9.84443611111111,-35.8957083333333,2019-11-06,Oleada - Vestígios/Esparsos,2700607
Foz do Rio Manguaba,Porto de Pedras,2019-11-06,Alagoas,-9.15836944444444,-35.2948944444444,2019-11-06,Oleada - Vestígios/Esparsos,2707404
Praia de Lages,Porto de Pedras,2019-11-01,Alagoas,-9.19617777777778,-35.3131833333333,2019-11-02,Óleo - Não Observado,2707404
Foz do rio Tatuamunha,Porto de Pedras,2019-10-22,Alagoas,-9.22503888888889,-35.3323138888889,NA,Oleada - Vestígios/Esparsos,2707404
Rio Manguaba,Japaratinga,2019-11-07,Alagoas,-9.14866388888889,-35.2930777777778,2019-11-08,Oleada - Vestígios/Esparsos,2703601
Praia de Japaratinga,Japaratinga,2019-11-03,Alagoas,-9.08999722222222,-35.2570972222222,2019-11-08,Oleada - Vestígios/Esparsos,2703601
Barreira do Boqueirão,Japaratinga,2019-10-14,Alagoas,-9.12666111111111,-35.2791416666667,2019-11-07,Oleada - Vestígios/Esparsos,2703601
Foz do Rio Manguba,Japaratinga,2019-10-21,Alagoas,-9.15609444444445,-35.2890555555556,2019-11-01,Oleada - Vestígios/Esparsos,2703601
Praia de Japaratinga,Japaratinga,2019-10-16,Alagoas,-9.08432222222222,-35.2512027777778,2019-11-03,Oleada - Vestígios/Esparsos,2703601
Praia de Bitingui,Japaratinga,2019-10-28,Alagoas,-9.10725555555556,-35.2631305555556,2019-11-03,Oleada - Vestígios/Esparsos,2703601
Praia do Boqueirão,Japaratinga,2019-11-05,Alagoas,-9.13251388888889,-35.2843694444444,2019-11-05,Oleada - Vestígios/Esparsos,2703601
