name,município,data_avist,estado,data_revis,status,latitude,longitude
Rio Persinunga,Maragogi,2019-10-29,PE,2019-11-02,Oleada - Vestígios/Esparsos,-8.91138888888889,-35.1522611111111
Praia do Cupe,Ipojuca,2019-10-29,PE,2019-11-04,Óleo - Não Observado,-8.451375,-34.9842222222222
Tamandaré,Tamandaré,2019-09-07,PE,2019-10-28,Oleada - Vestígios/Esparsos,-8.76573055555555,-35.104
Candeias,Jaboatão dos Guararapes,2019-09-03,PE,2019-10-30,Oleada - Vestígios/Esparsos,-8.1948,-34.9179166666667
Boa Viagem,Recife,2019-09-03,PE,2019-11-02,Óleo - Não Observado,-8.14396666666667,-34.9042527777778
Ilha do Francês/Suape,Cabo de Santo Agostinho,2019-10-31,PE,NA,Oleada - Vestígios/Esparsos,-8.37680555555556,-34.9573472222222
Carneiros,Tamandaré,2019-09-03,PE,2019-11-02,Oleada - Vestígios/Esparsos,-8.70639722222222,-35.0794166666667
Praia de Nossa Senhora do Ó,Ipojuca,2019-09-02,PE,2019-10-28,Oleada - Vestígios/Esparsos,-8.44189444444445,-34.9809166666667
Várzea do Una,Barreros,2019-10-28,PE,2019-11-04,Óleo - Não Observado,-8.84556388888889,-35.1366277777778
Atalaia,Luís Correia,2019-09-30,PI,2019-11-04,Óleo - Não Observado,-2.88353888888889,-41.6375944444444
Luís Correia,Luís Correia,2019-09-30,PI,2019-11-04,Óleo - Não Observado,-2.90028888888889,-41.6062083333333
Praia Peito de Moça,Luís Correia,2019-09-30,PI,NA,Óleo - Não Observado,-2.90395,-41.5979916666667
Praia da Lama,Cajueiro da Praia,2019-09-28,PI,2019-10-24,Óleo - Não Observado,-2.93810833333333,-41.3211
Pedra do Sal,Parnaíba,2019-09-30,PI,2019-10-27,Óleo - Não Observado,-2.80683333333333,-41.7265833333333
Praia do Coqueiro,Luís Correia,2019-09-30,PI,NA,Óleo - Não Observado,-2.9043,-41.5721222222222
Praia do Pontal,Ilha Grande,2019-10-29,PI,2019-10-31,Oleada - Vestígios/Esparsos,-2.77083055555556,-41.7768527777778
Praia do Arrombado,Luís Correia,2019-09-27,PI,2019-09-27,Óleo - Não Observado,-2.91119722222222,-41.5221888888889
Pirambúzios,Nísia Floresta,2019-09-10,RN,2019-11-04,Óleo - Não Observado,-5.993,-35.1127166666667
Redinha,Natal,2019-09-20,RN,2019-11-04,Óleo - Não Observado,-5.75365,-35.2002805555556
Jenipabu,Extremoz,2019-09-20,RN,2019-11-05,Óleo - Não Observado,-5.69318055555556,-35.2057194444444
Camurupim,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,-6.07726666666667,-35.1004416666667
Barreta,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,-6.12183611111111,-35.0989111111111
Barra de Tabatinga,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,-6.06106111111111,-35.096875
Praia de Santa Rita,Extremoz,2019-09-20,RN,2019-11-05,Óleo - Não Observado,-5.70079166666667,-35.1933361111111
Praia de Búzios,Nísia Floresta,2019-09-11,RN,2019-11-05,Óleo - Não Observado,-6.01684722222222,-35.1083638888889
Sagi,Baía Formosa,2019-09-07,RN,2019-11-04,Oleada - Vestígios/Esparsos,-6.46665833333333,-34.971825
Praia de Porto Mirim,Ceará-Mirim,2019-10-27,RN,2019-11-05,Óleo - Não Observado,-5.56426388888889,-35.2386472222222
Praia de Pitangui,Extremoz,2019-10-22,RN,2019-11-05,Óleo - Não Observado,-5.61863333333333,-35.2272805555556
Jacumã,Ceará-Mirim,2019-09-11,RN,2019-11-05,Óleo - Não Observado,-5.58280277777778,-35.2263333333333
Barra do Rio,Extremoz,2019-09-20,RN,2019-11-05,Óleo - Não Observado,-5.67770277777778,-35.2163944444444
Ponta Negra,Natal,2019-09-14,RN,2019-11-03,Óleo - Não Observado,-5.87629722222222,-35.1758638888889
Praia de Areia Preta,Natal,2019-09-17,RN,2019-11-04,Oleada - Vestígios/Esparsos,-5.790675,-35.1872527777778
Baía Formosa,Baía Formosa,2019-09-07,RN,2019-11-05,Óleo - Não Observado,-6.36844722222222,-35.0019361111111
Cabo de São Roque,Maxaranguape,2019-09-14,RN,2019-11-05,Óleo - Não Observado,-5.49059166666667,-35.2605722222222
Praia do Calcanhar,Touros,2019-09-14,RN,2019-10-27,Óleo - Não Observado,-5.16239444444444,-35.4851555555556
Praia de Barreta,Nisia Floresta,2019-11-03,RN,2019-11-03,Oleada - Vestígios/Esparsos,-6.11279722222222,-35.1003555555556
Praia de Malembá,Senador Georgino Avelino,2019-11-01,RN,2019-11-03,Óleo - Não Observado,-6.17507777777778,-35.0961777777778
Perobas,Touros,2019-09-11,RN,2019-11-03,Óleo - Não Observado,-5.25523888888889,-35.3905416666667
Praia de Touros,Touros,2019-09-14,RN,2019-11-03,Óleo - Não Observado,-5.19062222222222,-35.4633222222222
Praia de Caraúbas,Maxaranguape,2019-09-15,RN,2019-11-03,Óleo - Não Observado,-5.46127222222222,-35.28755
